,permno,Quarter,Unnamed: 0_x,date,ret,shrcd,price,me,Unnamed: 0_y,ea_date,fiscal_period,gics_6d,ret_ex_3d,date_diff,doy_diff,weekday,most_popular_weekday,fraction_on_most_popular_weekday,quantile_group,fraction_of_zeros
24,10200,2021Q1,158.0,2021-03-31,-0.0846555680036544,11.0,194.41000366210935,10672914.791046144,521,2021-02-24,2020-12-31,352030,0.028555438,6,4,Wednesday,Tuesday,0.5,above_median,0.0
25,10200,2021Q2,161.0,2021-06-30,0.0931493043899536,11.0,199.6199951171875,10972911.51159668,522,2021-05-04,2021-03-31,352030,-0.020703007,-1,-3,Tuesday,Tuesday,0.5,below_median,0.0
26,10200,2021Q3,164.0,2021-09-30,0.0212381761521101,11.0,288.989990234375,15976522.620117188,523,2021-07-27,2021-06-30,352030,0.13320696,-2,-4,Tuesday,Tuesday,0.5,above_median,0.0
27,10200,2021Q4,167.0,2021-12-31,-0.0756021067500114,11.0,264.8399963378906,14651213.437408447,524,2021-10-28,2021-09-30,352030,0.027704395,-7,-9,Thursday,Tuesday,0.5,above_median,0.0
40,10258,2021Q1,251.0,2021-03-31,-0.2392909675836563,11.0,20.600000381469727,816069.0151119232,759,2021-03-29,2020-12-31,352010,-0.21532083,4,-2,Monday,Thursday,0.6666666666666666,above_median,0.3333333333333333
41,10258,2021Q3,257.0,2021-09-30,0.0254510939121246,11.0,53.9900016784668,2519335.448322296,760,2021-08-05,2021-06-30,352010,0.05296023,0,-2,Thursday,Thursday,0.6666666666666666,below_median,0.3333333333333333
42,10258,2021Q4,260.0,2021-12-31,0.0141732525080442,11.0,38.63999938964844,1805647.1714782715,761,2021-11-11,2021-09-30,352010,-0.08141297,7,0,Thursday,Thursday,0.6666666666666666,above_median,0.3333333333333333
43,10294,2021Q1,263.0,2021-03-31,0.0245680455118417,11.0,36.91999816894531,676907.894317627,861,2021-02-17,2020-12-31,255040,-0.03338909,1,-1,Wednesday,Tuesday,0.5,below_median,0.0
44,10294,2021Q2,266.0,2021-06-30,-0.0659986659884452,11.0,42.880001068115234,780357.2129974365,862,2021-04-27,2021-03-31,255040,0.041052155,-1,-24,Tuesday,Tuesday,0.5,below_median,0.0
45,10294,2021Q3,269.0,2021-09-30,-0.055415604263544,11.0,33.75,617349.1044158936,863,2021-07-27,2021-06-30,255040,-0.052673724,-13,-15,Tuesday,Tuesday,0.5,above_median,0.0
