,permno,Quarter,Unnamed: 0_x,date,ret,shrcd,price,me,Unnamed: 0_y,ea_date,fiscal_period,gics_6d,ret_ex_3d,date_diff,doy_diff
0,10026,2021Q1,2.0,2021-03-31,-0.0072751059196889,11.0,157.02999877929688,2988908.9967651367,64,2021-01-25,2020-12-31,302020,0.085725605,0,-2
1,10026,2021Q2,5.0,2021-06-30,-0.0030584244523197,11.0,174.41000366210938,3324429.079803467,65,2021-04-26,2021-03-31,302020,-0.040382583,0,-2
2,10026,2021Q3,8.0,2021-09-30,-0.0629395917057991,11.0,152.82000732421875,2916417.0197753906,66,2021-07-26,2021-06-30,302020,0.005234548,0,-2
3,10026,2021Q4,11.0,2021-12-31,0.1611729711294174,11.0,157.9600067138672,3015298.5681610107,67,2021-11-15,2021-09-30,302020,-0.015812967,7,9
4,10032,2021Q1,26.0,2021-03-31,0.0935936272144317,11.0,91.83999633789062,2646736.85446167,123,2021-01-20,2020-12-31,452030,-0.072585955,0,-2
5,10032,2021Q2,29.0,2021-06-30,-0.0748911425471305,11.0,91.41000366210938,2613777.6447143555,124,2021-04-21,2021-03-31,452030,-0.0071585327,0,-2
6,10032,2021Q3,32.0,2021-09-30,-0.0263530239462852,11.0,89.41000366210938,2525832.60345459,125,2021-07-21,2021-06-30,452030,-0.015060444,0,-2
7,10032,2021Q4,35.0,2021-12-31,0.1396481990814209,11.0,95.88999938964844,2684632.312911988,126,2021-10-27,2021-09-30,452030,-0.08669481,0,-2
8,10107,2021Q1,98.0,2021-03-31,0.0145881716161966,11.0,235.7700042724609,1776291212.1887207,229,2021-01-26,2020-12-31,451030,0.07322034,-1,-3
9,10107,2021Q2,101.0,2021-06-30,0.0849887952208519,11.0,270.8999938964844,2036897054.107666,230,2021-04-27,2021-03-31,451030,-0.023516476,-1,-3
10,10107,2021Q3,104.0,2021-09-30,-0.0661189556121826,11.0,281.9200134277344,2116626423.0540464,231,2021-07-27,2021-06-30,451030,-0.0014790081,6,4
11,10107,2021Q4,107.0,2021-12-31,0.0173326805233955,11.0,336.32000732421875,2525083888.590088,232,2021-10-26,2021-09-30,451030,0.03562772,0,-2
12,10138,2021Q1,122.0,2021-03-31,0.0650055930018425,11.0,171.60000610351562,38944278.18518066,310,2021-01-28,2020-12-31,402030,0.008698821,1,-1
13,10138,2021Q2,125.0,2021-06-30,0.0559184476733207,11.0,197.97000122070312,44924342.52700806,311,2021-04-29,2021-03-31,402030,0.0029379663,2,0
14,10138,2021Q3,128.0,2021-09-30,-0.1165408417582512,11.0,196.6999969482422,44496883.2096405,312,2021-07-29,2021-06-30,402030,0.004207803,1,-1
15,10138,2021Q4,131.0,2021-12-31,-0.0111527759581804,11.0,196.63999938964844,45064971.86012268,313,2021-10-28,2021-09-30,402030,0.038989767,0,-2
16,10145,2021Q1,134.0,2021-03-31,0.0727452486753463,11.0,217.07000732421875,150972407.16400146,382,2021-01-29,2020-12-31,201050,-0.014616425,0,-2
17,10145,2021Q2,137.0,2021-06-30,-0.050062783062458,11.0,219.3500061035156,151439024.86386108,383,2021-04-23,2021-03-31,201050,-0.043989167,-7,-9
18,10145,2021Q3,140.0,2021-09-30,-0.084644928574562,11.0,212.27999877929688,146138433.5996399,384,2021-07-23,2021-06-30,201050,-0.025965657,0,-2
19,10145,2021Q4,143.0,2021-12-31,0.0310027133673429,11.0,208.50999450683597,143000115.92268372,385,2021-10-22,2021-09-30,201050,-0.033187192,-7,-9
20,10158,2021Q1,146.0,2021-03-31,-0.1486344188451767,11.0,48.630001068115234,1471203.4223136902,454,2021-03-01,2020-12-31,201030,-0.009951261,-1,-2
21,10158,2021Q2,149.0,2021-06-30,0.1666667312383652,11.0,62.720001220703125,2086694.440612793,455,2021-05-04,2021-03-31,201030,-0.02896811,1,-1
22,10158,2021Q3,152.0,2021-09-30,-0.1550253182649612,11.0,58.43000030517578,1950919.2801895144,456,2021-08-02,2021-06-30,201030,-0.07514106,0,-2
23,10158,2021Q4,155.0,2021-12-31,-0.0984169095754623,11.0,81.44000244140625,2733045.0419311523,457,2021-11-01,2021-09-30,201030,0.1127718,0,-2
24,10200,2021Q1,158.0,2021-03-31,-0.0846555680036544,11.0,194.41000366210935,10672914.791046144,521,2021-02-24,2020-12-31,352030,0.028555438,6,4
25,10200,2021Q2,161.0,2021-06-30,0.0931493043899536,11.0,199.6199951171875,10972911.51159668,522,2021-05-04,2021-03-31,352030,-0.020703007,-1,-3
